2025-10-24 09:54:43,084 | WARNING | matplotlib | /Users/vladimir/.matplotlib is not a writable directory
2025-10-24 09:54:55,229 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,229 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,230 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,235 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,236 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,236 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,259 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,259 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,263 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,264 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,264 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,273 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,273 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,284 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,289 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,289 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,292 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,318 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,318 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,341 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,341 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,341 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,342 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,346 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,351 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,352 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,352 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,352 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,380 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,404 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,404 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,404 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,434 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,435 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,485 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,485 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,491 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,543 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,492 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,492 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,513 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,513 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,542 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,543 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,543 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,491 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,576 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,649 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,602 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,609 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,626 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,691 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,629 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,689 | INFO | healpy | -> fwhm is 0.000000 arcmin
